No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
24	Aluminum fluoride	AlF3	7784-18-1	83.977	wh hex cry	2250 tp (220 MPa)	1276 sp	3.1	0.5025		
25	Aluminum fluoride monohydrate	AlF3  H2O	32287-65-3	101.992	orth cry			2.17	0.5025		
26	Aluminum fluoride trihydrate	AlF3  3H2O	15098-87-0	138.023	wh hyg cry			1.914	0.5025		
27	Aluminum hexafluorosilicate nonahydrate	Al2(SiF6)3  9H2O	17099-70-6	642.329	hex prisms	>500 dec				s H2O	
28	Aluminum hydride	AlH3	7784-21-6	30.006	col hex cry	>150 dec				reac H2O	
29	Aluminum hydroxide	Al(OH)3	21645-51-2	78.004	wh amorp powder			2.42		i H2O; s alk, acid	
30	Aluminum hydroxychloride	Al2(OH)5Cl  2H2O	1327-41-9	210.483	gl solid					s H2O	
31	Aluminum hypophosphite	Al(H2PO2)3	7784-22-7	221.948	cry powder	220 dec				i H2O; s alk, acid	
32	Aluminum iodide	AlI3	7784-23-8	407.695	wh leaflets	188.28	382	3.98		reac H2O	
33	Aluminum iodide hexahydrate	AlI3  6H2O	10090-53-6	515.786	yel hyg cry powder					vs H2O; s EtOH, eth	
34	Aluminum lactate	Al(C3H5O3)3	18917-91-4	294.192	powder					vs H2O	
35	Aluminum nitrate	Al(NO3)3	13473-90-0	212.997	wh hyg solid	dec			68.925	vs EtOH; sl ace	
36	Aluminum nitrate nonahydrate	Al(NO3)3  9H2O	7784-27-2	375.134	wh hyg mono cry	73	135 dec	1.72	68.925	vs EtOH; i pyr	
37	Aluminum nitride	AlN	24304-00-5	40.989	blue-wh hex cry	3000		3.255		reac H2O	
38	Aluminum oleate	Al(C18H33O2)3	688-37-9	871.342	yel solid					i H2O; s EtOH, bz	
39	Aluminum phosphate	AlPO4	7784-30-7	121.953	wh rhomb plates	>1460		2.56		i H2O; sl acid	
40	Aluminum metaphosphate	Al(PO3)3	32823-06-6	263.898	col powder; tetr	1525		2.78		i H2O	
41	Aluminum oxide (corundum)	Al2O3	1344-28-1	101.961	wh powder; hex	2053	3000	3.97		i H2O, os; sl alk	
42	Aluminum oxyhydroxide	AlO(OH)	14457-84-2	59.989	ortho cry			3.44		i H2O; s acid, alk	
43	Aluminum palmitate	Al(C15H31COO)3	555-35-1	793.23	wh-yel powder					i H2O, EtOH; s peth	
44	Aluminum perchlorate nonahydrate	Al(ClO4)3  9H2O	14452-39-2	487.47	wh hyg cry	82 dec		2	182.4		
45	Aluminum phosphide	AlP	20859-73-8	57.956	grn or yel cub cry	2550		2.4		reac H2O	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
46	Aluminum selenide	Al2Se3	1302-82-5	290.84	yel-brown powder	960		3.437		reac H2O	
47	Aluminum silicate	Al2SiO5	12183-80-1	162.046	gray-grn cry			3.145			
48	Aluminum silicate dihydrate	Al2O3  2SiO2  2H2O	1332-58-7	258.161	wh-yel powder; tricl			2.59		i H2O, acid, alk	
49	Aluminum stearate	Al(C18H35O2)3	637-12-7	877.39	wh powder	115		1.07		i H2O, EtOH, eth; s alk	
50	Aluminum sulfate	Al2(SO4)3	10043-01-3	342.154	wh cry	1040 dec			38.525	i EtOH	
51	Aluminum sulfate octadecahydrate	Al2(SO4)3  18H2O	7784-31-8	666.429	col monocl cry	86 dec		1.69	38.525		
52	Aluminum sulfide	Al2S3	1302-81-4	150.161	yel-gray powder	1100		2.02			
53	Aluminum telluride	Al2Te3	12043-29-7	436.76	gray-blk hex cry	895		4.5			
54	Aluminum thiocyanate	Al(SCN)3	538-17-0	201.232	yel powder					s H2O; i EtOH, eth	
55	Americium	Am	7440-35-9	243	silv metal; hex or cub	1176	2011	12		s acid	
56	Americium(III) oxide	Am2O3	12254-64-7	534	tan hex cry			11.77		s acid	
57	Americium(III) bromide	AmBr3	14933-38-1	483	wh orth cry			6.85		s H2O	
58	Americium(III) chloride	AmCl3	13464-46-5	349	pink hex cry	500		5.87			
59	Americium(III) fluoride	AmF3	13708-80-0	300	pink hex cry	1393		9.53			
60	Americium(III) iodide	AmI3	13813-47-3	624	yel ortho cry	950		6.9			
61	Americium(IV) fluoride	AmF4	15947-41-8	319	tan monocl cry			7.23			
62	Americium(IV) oxide	AmO2	12005-67-3	275	blk cub cry	>1000 dec		11.68		s acid	
63	Ammonia	NH3	7664-41-7	17.031	col gas	-77.73	-33.33	0.696 g/L		vs H2O; s EtOH, eth	
64	Ammonium acetate	NH4C2H3O2	631-61-8	77.083	wh hyg cry	114		1.073	1484	s EtOH; sl ace	
65	Ammonium azide	NH4N3	12164-94-2	60.059	ortho cry; flam	160	exp	1.346	20.23		
66	Ammonium benzoate	NH4C7H5O2	1863-63-4	139.152	wh cry or powder	198		1.26		s H2O; sl EtOH	
67	Ammonium hydrogen malate	NH4C4H4O5	5972-71-4	151.118	ortho cry	160		1.15		s H2O; sl EtOH	
68	Ammonium borate tetrahydrate	(NH4)2B4O7  4H2O	12228-87-4	263.377	tetr cry					s H2O; i EtOH	
69	Ammonium bromate	NH4BrO3	13843-59-9	145.941	col hex cry	exp				vs H2O	
70	Ammonium bromide	NH4Br	12124-97-9	97.943	wh hyg tetr cry	542 dec	396 sp	2.429	78.325	s EtOH, ace; sl eth	
71	Ammonium caprylate	NH4C8H15O2	5972-76-9	161.243	hyg monocl cry	75				reac H2O; s EtOH; i chl, bz	
72	Ammonium carbamate	NH2COONH4	1111-78-0	78.071	cry powder					vs H2O; s EtOH	
73	Ammonium carbonate	(NH4)2CO3	506-87-6	96.086	col cry powder	58 dec			10015		
74	Ammonium cerium(III) sulfate tetrahydrate	NH4Ce(SO4)2  4H2O	21995-38-0*	422.343	monocl cry					s H2O	
75	Ammonium cerium(IV) nitrate	(NH4)2Ce(NO3)6	16774-21-3	548.223	red-oran cry					vs H2O	
76	Ammonium chlorate	NH4ClO3	10192-29-7	101.49	wh cry	102 exp		1.8	28.7		
77	Ammonium chloride	NH4Cl	12125-02-9	53.492	col cub cry	520 tp (dec)	338 sp	1.519	39.525		
78	Ammonium chromate	(NH4)2CrO4	7788-98-9	152.071	yel cry	185 dec		1.9	3725	sl ace, MeOH; i EtOH	
79	Ammonium chromic sulfate dodecahydrate	NH4Cr(SO4)2  12H2O	10022-47-6	478.345	blue-viol cry	94 dec		1.72		s H2O; sl EtOH	
80	Ammonium cobalt(II) phosphate	CoNH4PO4	14590-13-7	171.943	red-viol powder (hyd)					i H2O; s acid	
81	Ammonium cobalt(II) sulfate hexahydrate	(NH4)2Co(SO4)2  6H2O	13586-38-4	395.229	red monocl prisms			1.9		s H2O; i EtOH	
82	Ammonium copper(II) chloride	CuCl2  2NH4Cl	10060-13-6*	241.434	yel hyg orth cry					s H2O	
83	Ammonium copper(II) chloride dihydrate	CuCl2  2NH4Cl  2H2O	10060-13-6	277.464	blue-grn tetr cry	110 dec		1.993		s H2O, EtOH	
84	Ammonium cyanide	NH4CN	12211-52-8	44.056	col tetr cry	dec		1.1		vs H2O	
85	Ammonium dichromate	(NH4)2Cr2O7	7789-09-5	252.065	oran-red monocl cry; hyg	180 dec		2.155	35.62		
86	Ammonium dihydrogen arsenate	NH4H2AsO4	13462-93-6	158.975	tetr cry	300 dec		2.311	52.725		
87	Ammonium dihydrogen phosphate	NH4H2PO4	7722-76-1	115.026	wh tetr cry	190		1.8	40.425	sl EtOH; i ace	
88	Ammonium dithiocarbamate	NH4NH2CSS	513-74-6	110.204	yel ortho cry	99 dec		1.45		s H2O	
89	Ammonium ferric chromate	NH4Fe(CrO4)2	7789-08-4	305.871	red powder					i H2O	
90	Ammonium ferric oxalate trihydrate	(NH4)3Fe(C2O4)3  3H2O	13268-42-3	428.063	grn monocl cry; hyg	160 dec		1.78		vs H2O; i EtOH	
											
91	Ammonium ferric sulfate dodecahydrate	NH4Fe(SO4)2  12H2O	10138-04-2	482.194	col to viol cry	37		1.71		vs H2O; i EtOH	
92	Ammonium ferricyanide trihydrate	(NH4)3Fe(CN)6  3H2O	14221-48-8*	320.111	red cry					s H2O; i EtOH	
93	Ammonium ferrocyanide trihydrate	(NH4)4Fe(CN)6  3H2O	14481-29-9*	338.149	yel cry	dec				s H2O; i EtOH	
94	Ammonium ferrous sulfate hexahydrate	(NH4)2Fe(SO4)2  6H2O	10045-89-3	392.141	blue-grn monocl cry	100 dec		1.86		s H2O; i EtOH	
95	Ammonium fluoride	NH4F	12125-01-8	37.037	wh hex cry; hyg	dec		1.015	83.525	sl EtOH	
96	Ammonium tetrafluoroborate	NH4BF4	13826-83-0	104.844	wh powder; orth	487 dec		1.871	2520		
97	Ammonium fluorosulfonate	NH4SO3F	13446-08-7	117.101	col needles	245				s H2O, EtOH, MeOH	
98	Ammonium formate	NH4CHO2	540-69-2	63.057	hyg cry	116		1.27	14320	s EtOH	
99	Ammonium hexachloroiridate(IV)	(NH4)2IrCl6	16940-92-4	441.01	blk cry powder	dec		2.856	1.0925		
100	Ammonium hexachloroosmiate(IV)	(NH4)2OsCl6	12125-08-5	439.02	red cry or powder		subl	2.93		s H2O, EtOH	
101	Ammonium hexachloropalladate(IV)	(NH4)2PdCl6	19168-23-1	355.21	red-brn hyg cry	dec		2.418			
102	Ammonium hexabromoplatinate(IV)	(NH4)2PtBr6	17363-02-9	710.58	powder	145 dec			0.592		
103	Ammonium hexachloroplatinate(IV)	(NH4)2PtCl6	16919-58-7	443.87	red-oran cub cry	380 dec		3.065	0.52	i EtOH	
104	Ammonium hexafluoroaluminate	(NH4)3AlF6	7784-19-2	195.087	cub cry			1.78		s H2O	
105	Ammonium hexafluorogallate	(NH4)3GaF6	14639-94-2	237.828	col cub cry	>200 dec		2.1			
106	Ammonium hexafluorogermanate	(NH4)2GeF6	16962-47-3	222.68	wh cry	380	subl	2.564		s H2O; i EtOH	
107	Ammonium hexafluorophosphate	NH4PF6	16941-11-0	163.003	wh cub cry	58 dec		2.18		vs H2O; s ace, EtOH, MeOH	
108	Ammonium hexafluorosilicate	(NH4)2SiF6	16919-19-0	178.153	wh cub or trig cry	dec		2.011	22.725	i EtOH, ace	
109	Ammonium hexafluorozirconate(IV)	(NH4)2ZrF6	16919-31-6	241.291	wh hex cry			1.154		s H2O	
110	Ammonium hydrogen arsenate	(NH4)2HAsO4	7784-44-3	176.004	wh powder			1.99		s H2O	
111	Ammonium hydrogen borate trihydrate	NH4HB4O7  3H2O	10135-84-9	228.332	col cry			2.5		s H2O	
112	Ammonium hydrogen carbonate	NH4HCO3	1066-33-7	79.056	col or wh prisms	107 dec		1.586	24.825	i EtOH, bz	
113	Ammonium hydrogen citrate	(NH4)2HC6H5O7	3012-65-5	226.184	col cry			1.48		vs H2O; sl EtOH	
114	Ammonium hydrogen fluoride	NH4HF2	1341-49-7	57.044	wh orth cry	125	240 dec	1.5	60.22		
115	Ammonium hydrogen oxalate monohydrate	NH4HC2O4  H2O	5972-72-5*	125.081	col rhomb cry	dec		1.56		sl H2O, EtOH	
116	Ammonium hydrogen phosphate	(NH4)2HPO4	7783-28-0	132.055	wh cry	155 dec		1.619	69.525	i EtOH, ace	
117	Ammonium hydrogen selenate	NH4HSeO4	10294-60-7	162.01	rhom cry	dec		2.162			
118	Ammonium hydrogen sulfate	NH4HSO4	7803-63-6	115.111	wh hyg cry	147		1.78	10020	i EtOH, ace, py	
119	Ammonium hydrogen sulfide	NH4HS	12124-99-1	51.113	wh tetr or orth cry	dec		1.17	1280	sl ace; i bz, eth	
120	Ammonium hydrogen sulfite	NH4HSO3	10192-30-0	99.111	col cry	dec		2.03	71.8		
121	Ammonium hydrogen tartrate	NH4C4H4O6	3095-65-6	167.117	wh cry			1.68		sl H2O; s alk; i EtOH	
122	Ammonium hydroxide	NH4OH	1336-21-6	35.046	exists only in soln						
123	Ammonium hypophosphite	NH4H2PO2	7803-65-8	83.028	wh hyg cry	dec				vs H2O; sl EtOH; i ace	
124	Ammonium iodate	NH4IO3	13446-09-8	192.941	wh powder	150		3.3	3.8425		
125	Ammonium iodide	NH4I	12027-06-4	144.943	wh tetr cry; hyg	551 dec	405 sp	2.514	17825	sl EtOH, MeOH	
126	Ammonium lactate	NH4C3H5O3	52003-58-4	107.108	col cry	92				s H2O, EtOH; sl MeOH; i ace, et	
127	Ammonium metatungstate hexahydrate	(NH4)6W7O24  6H2O	12028-48-7	1887.19	wh cry					s H2O; i EtOH	
128	Ammonium metavanadate	NH4VO3	7803-55-6	116.979	wh-yel cry	200 dec		2.326	4.82		
129	Ammonium molybdate(VI) tetrahydrate	(NH4)6Mo7O24  4H2O	12054-85-2	1235.86	col or grn-yel cry	90 dec		2.498	43	i EtOH	
130	Ammonium molybdophosphate	(NH4)3PO4  12MoO3	54723-94-3*	1876.35	yel cry pow	dec			0.02	s alk; i acid	
131	Ammonium nickel chloride hexahydrate	NH4NiCl3  6H2O	16122-03-5*	291.181	grn hyg cry			1.65		s H2O	
132	Ammonium nickel sulfate hexahydrate	(NH4)2Ni(SO4)2  6H2O	7785-20-8	394.989	blue-grn cry	dec		1.923		sl H2O; i EtOH	
133	Ammonium nitrate	NH4NO3	6484-52-2	80.043	wh hyg cry; orth	169.7	dec 200-260	1.72	21325	sl MeOH	
134	Ammonium nitrite	NH4NO2	13446-48-5	64.044	wh-yel cry	60 exp		1.69	22125	i eth	
135	Ammonium nitroferricyanide	(NH4)2Fe(CN)5NO	14402-70-1	252.016	red-brn cry					s H2O, EtOH	
136	Ammonium oleate	NH4C18H33O2	544-60-5	299.493	yel-brn paste	21				s H2O; sl ace	
137	Ammonium oxalate	(NH4)2C2O4	1113-38-8	124.096	col sol			1.5	5.2025		
138	Ammonium oxalate monohydrate	(NH4)2C2O4  H2O	6009-70-7	142.11	wh orth cry	dec		1.5	5.2025	sl EtOH	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
139	Ammonium palmitate	NH4C15H31CO2	593-26-0	273.455	yel-wh powder	22				s H2O; sl bz, xyl; i ace, EtOH, ct	
140	Ammonium pentaborate tetrahydrate	NH4B5O8  4H2O	12007-89-5	272.15	wh cry				7.0318		
141	Ammonium pentachlorozincate	(NH4)3ZnCl5	14639-98-6	296.77	hyg orth cry			1.81		vs H2O	
142	Ammonium perchlorate	NH4ClO4	7790-98-9	117.49	wh orth cry	dec, exp		1.95	24.525	s MeOH; sl EtOH, ace; i eth	
143	Ammonium permanganate	NH4MnO4	13446-10-1	136.975	purp rhomb cry	70 dec		2.22	7.915		
144	Ammonium peroxydisulfate	(NH4)2S2O8	7727-54-0	228.204	monocl cry or wh powder	dec		1.982	83.525		
145	Ammonium perrhenate	NH4ReO4	13598-65-7	268.244	col powder			3.97	6.232		
146	Ammonium phosphate trihydrate	(NH4)3PO4  3H2O	10361-65-6*	203.133	wh prisms				25.025	i ace	
147	"Ammonium phosphite, dibasic,
monohydrate"	(NH4)2HPO3  H2O	51503-61-8	134.071	hyg cry					s H2O	
148	"Ammonium phosphomolybdate
monohydrate"	(NH4)3PO4  12MoO3  H2O	54723-94-3	1894.36	yel cry or powder	dec			0.02		
149	Ammonium phosphotungstate dihydrate	(NH4)3PO4  12WO3  2H2O	1311-90-6	2967.18	cry powder					sl H2O	
150	Ammonium picrate	NH4C6H2N3O7	131-74-8	246.135	yel orth cry	exp		1.72		sl H2O	
151	Ammonium salicylate	NH4C7H5O3	528-94-9	155.151	wh cry powder					vs H2O; s EtOH	
152	Ammonium selenate	(NH4)2SeO4	7783-21-3	179.04	wh monocl cry	dec		2.194	11725	i EtOH, ace	
153	Ammonium selenite	(NH4)2SeO3	7783-19-9	163.04	wh or red hyg cry	dec			12125		
154	Ammonium stearate	NH4C18H35O2	1002-89-7	301.509	yel-wh powder	22		0.89		sl H2O, bz; s EtOH, MeOH; i ace	
155	Ammonium sulfamate	NH4NH2SO3	7773-06-0	114.125	wh hyg cry	131	160 dec			vs H2O; sl EtOH	
156	Ammonium sulfate	(NH4)2SO4	7783-20-2	132.141	wh or brn orth cry	280 dec		1.77	76.425	i EtOH, ace	
157	Ammonium sulfide	(NH4)2S	12135-76-1	68.143	yel-oran cry	0 dec				s H2O, EtOH, alk	
158	Ammonium sulfite	(NH4)2SO3	17026-44-7	116.141	wh hyg cry				64.225		
159	Ammonium sulfite monohydrate	(NH4)2SO3  H2O	7783-11-1	134.156	col cry	dec		1.41	64.225	i EtOH, ace	
160	Ammonium tartrate	(NH4)2C4H4O6	3164-29-2	184.147	wh cry	dec		1.601		s H2O	
161	Ammonium tellurate	(NH4)2TeO4	13453-06-0	227.68	wh powder	dec		3.024			
162	Ammonium tetrachloroaluminate	NH4AlCl4	7784-14-7	186.832	wh hyg solid	304				s H2O, eth	
163	Ammonium tetrachloroplatinate(II)	(NH4)2PtCl4	13820-41-2	372.97	red cry	dec		2.936		s H2O; i EtOH	
164	Ammonium tetrachlorozincate	(NH4)2ZnCl4	14639-97-5	243.28	wh orth plates; hyg	150 dec		1.879		vs H2O	
165	Ammonium tetrathiotungstate	(NH4)2WS4	13862-78-7	348.18	oran cry	dec		2.71		s H2O	
166	Ammonium thiocyanate	NH4SCN	1762-95-4	76.122	col hyg cry	149	dec	1.3	18125	vs EtOH; s ace; i chl	
167	Ammonium thiosulfate	(NH4)2S2O3	7783-18-8	148.207	wh cry	150 dec		1.678		vs H2O; i EtOH, eth	
168	Ammonium titanium oxalate monohydrate	(NH4)2TiO(C2O4)2  H2O	10580-03-7	293.996	hyg cry					vs H2O	
169	Ammonium tungstate(VI)	(NH4)10W12O41	11120-25-5	3042.44	cry pow			2.3		s H2O; i EtOH	
170	Ammonium uranate(VI)	(NH4)2U2O7	7783-22-4	624.131	red-yel amorp powder					i H2O, alk; s acid	
171	Ammonium uranium fluoride	UO2(NH4)3F5	18433-40-4	419.135	grn-yel monocl cry					s H2O; i EtOH	
172	Ammonium valerate	NH4C4H9CO2	42739-38-8	119.163	hyg cry	108				vs H2O, EtOH; s eth	
173	Ammonium zirconyl carbonate dihydrate	(NH4)3ZrOH(CO3)3  2H2O	12616-24-9*	362.404	prisms; unstable					s H2O	
174	Antimony	Sb	7440-36-0	121.76	silv metal; hex	630.628	1587	6.68		i dil acid	
175	Stibine	SbH3	7803-52-3	124.784	col gas; flam	-88	-17	5.100 g/L		sl H2O; s EtOH	
176	Antimony arsenide	SbAs	12322-34-8	196.682	hex cry	680		6			
177	Antimony(III) bromide	SbBr3	7789-61-9	361.472	yel orth cry; hyg	96.6	280	4.35		reac H2O; s ace, bz, chl	
178	Antimony(III) chloride	SbCl3	10025-91-9	228.118	col orth cry; hyg	73.4	220.3	3.14	98725	s acid, EtOH, bz, ace	
179	Antimony(III) fluoride	SbF3	7783-56-4	178.755	wh orth cry; hyg	292	345	4.38	49225		
180	Antimony(III) iodide	SbI3	7790-44-5	502.473	red rhomb cry	168	401	4.92		reac H2O; s EtOH, ace; i ctc	
181	Antimony(III) oxide (senarmontite)	Sb2O3	1309-64-4	291.518	col cub cry	570 trans	1425	5.58		sl H2O; i os	
182	Antimony(III) oxide (valentinite)	Sb2O3	1309-64-4	291.518	wh orth cry	655	1425	5.7		sl H2O; i os	
											
183	Antimony(III) oxychloride	SbOCl	7791-08-4	173.212	wh momo cry	170 dec				reac H2O; i EtOH, eth	
184	Antimony(III) selenide	Sb2Se3	1315-05-5	480.4	grn orth cry	611		5.81		sl H2O	
185	Antimony(III) sulfate	Sb2(SO4)3	7446-32-4	531.711	wh cry powder; hyg	dec		3.62		sl H2O	
186	Antimony(III) sulfide	Sb2S3	1345-04-6	339.718	gray-blk orth cry	550		4.562		i H2O; s conc HCl	
187	Antimony(III) teluride	Sb2Te3	1327-50-0	626.32	gray cry	620		6.5			
188	Antimony(III,V) oxide	Sb2O4	1332-81-6	307.518	yel orth cry			6.64			
189	Antimony(V) chloride	SbCl5	7647-18-9	299.024	col or yel liq	4	140 dec	2.34		reac H2O; s chl, ctc	
190	Antimony(V) fluoride	SbF5	7783-70-2	216.752	hyg visc liq	8.3	141	3.1		reac H2O	
191	Antimony(V) dichlorotrifluoride	SbCl2F3	7791-16-4	249.66	visc liq					reac H2O	
192	Antimony(V) oxide	Sb2O5	1314-60-9	323.517	yel powder; cub	dec		3.78	0.32		
193	Antimony(V) sulfide	Sb2S5	1315-04-4	403.85	oran-yel powder	75 dec		4.12		i H2O; s acid, alk	
194	Argon	Ar	7440-37-1	39.948	col gas	-189.36 tp (69 kPa)	-185.847	1.633 g/L		sl H2O	
195	Arsenic (gray)	As	7440-38-2	74.922	gray metal; rhomb	817 tp (3.70 MPa)	603 sp	5.75		i H2O	
196	Arsine	AsH3	7784-42-1	77.946	col gas	-116	-62.5	3.186 g/L		sl H2O	
197	Diarsine	As2H4	15942-63-9	153.875	unstable liq		100				
198	Arsenic acid	H3AsO4	7778-39-4	141.944	exists only in soln						
199	Arsenic acid hemihydrate	H3AsO4  0.5H2O	7778-39-4*	150.951	wh hyg cry	35.5		2		vs H2O, EtOH	
200	Arsenious acid	H3AsO3	13464-58-9	125.944	exists only in soln						
201	Arsenic diiodide	As2I4	13770-56-4	657.461	red cry	137				reac H2O; s os	
202	Arsenic hemiselenide	As2Se	1303-35-1	228.8	blk cry					i H2O, os; dec acid, alk	
203	Arsenic sulfide	As4S4	12279-90-2	427.95	red monocl cry	320	565	3.5		i H2O; sl bz; s alk	
204	Arsenic(III) bromide	AsBr3	7784-33-0	314.634	yel orth cry; hyg	31.1	221	3.4		reac H2O; s hc, ctc; vs eth, bz	
205	Arsenic(III) chloride	AsCl3	7784-34-1	181.28	col liq	-16	130	2.15		reac H2O; vs chl, ctc, eth	
206	Arsenic(III) fluoride	AsF3	7784-35-2	131.917	col liq	-5.9	57.8	2.7		reac H2O; s EtOH, eth, bz	
207	Arsenic(III) iodide	AsI3	7784-45-4	455.635	red hex cry	140.9	424	4.73		sl H2O, EtOH, eth; s bz. tol	
208	Arsenic(III) oxide (arsenolite)	As2O3	1327-53-3	197.841	wh cub cry	274	460	3.86	2.0525		
209	Arsenic(III) oxide (claudetite)	As2O3	1327-53-3	197.841	wh monocl cry	313	460	3.74	2.0525	s dil acid, alk; i EtOH	
210	Arsenic(III) selenide	As2Se3	1303-36-2	386.72	brn-blk solid	260		4.75		i H2O; s alk	
211	Arsenic(III) sulfide	As2S3	1303-33-9	246.041	yel-oran monocl cry	310	707	3.46		i H2O; s alk	
212	Arsenic(III) telluride	As2Te3	12044-54-1	532.64	blk monocl cry	621		6.5			
213	Arsenic(V) chloride	AsCl5	22441-45-8	252.186	stable at low temp	-50 dec					
214	Arsenic(V) fluoride	AsF5	7784-36-3	169.914	col gas	-79.8	-52.8	6.945 g/L		reac H2O; s EtOH, bz, eth	
215	Arsenic(V) oxide	As2O5	1303-28-2	229.84	wh amorp powder	315		4.32	65.82	vs EtOH	
216	Arsenic(V) selenide	As2Se5	1303-37-3	544.64	blk solid	dec				i H2O, EtOH, eth; s alk	
217	Arsenic(V) sulfide	As2S5	1303-34-0	310.173	brn-yel amorp solid	dec				i H2O; s alk	
218	Triethyl arsenite	As(OC2H5)3	3141-12-6	210.103	liq		166	1.21			
219	Astatine	At	7440-68-8	210	cry	302				s HNO3, os	
220	Barium	Ba	7440-39-3	137.327	silv-yel metal; cub	727	1897	3.62		reac H2O; sl EtOH	
221	Barium acetate	Ba(C2H3O2)2	543-80-6	255.416	wh powder			2.47	79.225		
222	Barium acetate monohydrate	Ba(C2H3O2)2  H2O	5908-64-5	273.431	wh cry	110 dec		2.19	79.225	sl EtOH	
223	Barium aluminate	BaAl2O4	12004-04-5	255.288	hex cry	1827					
224	Barium azide	Ba(N3)2	18810-58-7	221.367	monocl cry; exp	120 dec		2.936	17.32	sl EtOH; i eth	
225	Barium bromate monohydrate	Ba(BrO3)2  H2O	10326-26-8	411.147	wh monocl cry	260 dec		3.99	0.83125	i EtOH	
226	Barium bromide	BaBr2	10553-31-8	297.135	wh orth cry	857	1835	4.781	10025		
227	Barium bromide dihydrate	BaBr2  2H2O	7791-28-8	333.166	wh cry	75 dec		3.7	10025	s MeOH; i EtOH, ace, diox	
228	Barium carbide	BaC2	50813-65-5	161.348	gray tetr cry	dec		3.74		reac H2O	
229	Barium carbonate	BaCO3	513-77-9	197.336	wh orth cry	1555		4.2865	0.00142	s acid	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
230	Barium chlorate	Ba(ClO3)2	13477-00-4	304.228	wh cry	414			37.925	sl EtOH, ace	
231	Barium chlorate monohydrate	Ba(ClO3)2  H2O	10294-38-9	322.244	wh monocl cry	120 dec		3.179	37.925	s acid; sl EtOH, ace	
